,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamilySize
0,343,0,2,male,28.0,0,0,248740,13.0,S,Mrs,0
1,76,0,3,male,25.0,0,0,348123,7.65,S,Mrs,0
2,641,0,3,male,20.0,0,0,350050,7.8542,S,Mrs,0
3,568,0,3,female,29.0,0,4,349909,21.075,S,Mrs,4
4,672,0,1,male,31.0,1,0,F.C. 12750,52.0,S,Mrs,1
5,105,0,3,male,37.0,2,0,3101276,7.925,S,Mrs,2
6,576,0,3,male,19.0,0,0,358585,14.5,S,Mrs,0
7,382,1,3,female,1.0,0,2,2653,15.7417,C,Miss,2
8,228,0,3,male,20.5,0,0,A/5 21173,7.25,S,Mrs,0
9,433,1,2,female,42.0,1,0,SC/AH 3085,26.0,S,Mrs,1
10,135,0,2,male,25.0,0,0,C.A. 29178,13.0,S,Mrs,0
11,294,0,3,female,24.0,0,0,349236,8.85,S,Miss,0
12,755,1,2,female,48.0,1,2,220845,65.0,S,Mrs,3
13,595,0,2,male,37.0,1,0,SC/AH 29037,26.0,S,Mrs,1
14,127,0,3,male,28.0,0,0,370372,7.75,Q,Mrs,0
15,434,0,3,male,17.0,0,0,STON/O 2. 3101274,7.125,S,Mrs,0
16,378,0,1,male,27.0,0,2,113503,211.5,C,Mrs,2
17,533,0,3,male,17.0,1,1,2690,7.2292,C,Mrs,2
18,666,0,2,male,32.0,2,0,S.O.C. 14879,73.5,S,Mrs,2
19,225,1,1,male,38.0,1,0,19943,90.0,S,Mrs,1
20,83,1,3,female,28.0,0,0,330932,7.7875,Q,Miss,0
21,130,0,3,male,45.0,0,0,347061,6.975,S,Mrs,0
22,544,1,2,male,32.0,1,0,2908,26.0,S,Mrs,1
23,815,0,3,male,30.5,0,0,364499,8.05,S,Mrs,0
24,273,1,2,female,41.0,0,1,250644,19.5,S,Mrs,1
25,464,0,2,male,48.0,0,0,234360,13.0,S,Mrs,0
26,588,1,1,male,60.0,1,1,13567,79.2,C,Mrs,2
27,661,1,1,male,50.0,2,0,PC 17611,133.65,S,Officer,2
28,90,0,3,male,24.0,0,0,343275,8.05,S,Mrs,0
29,115,0,3,female,17.0,0,0,2627,14.4583,C,Miss,0
30,373,0,3,male,19.0,0,0,323951,8.05,S,Mrs,0
31,729,0,2,male,25.0,1,0,236853,26.0,S,Mrs,1
32,528,0,1,male,28.0,0,0,PC 17483,221.7792,S,Mrs,0
33,537,0,1,male,45.0,0,0,113050,26.55,S,Officer,0
34,727,1,2,female,30.0,3,0,31027,21.0,S,Mrs,3
35,31,0,1,male,40.0,0,0,PC 17601,27.7208,C,Royalty,0
36,477,0,2,male,34.0,1,0,31027,21.0,S,Mrs,1
37,431,1,1,male,28.0,0,0,110564,26.55,S,Mrs,0
38,664,0,3,male,36.0,0,0,349210,7.4958,S,Mrs,0
39,44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,C,Miss,3
40,347,1,2,female,40.0,0,0,31418,13.0,S,Miss,0
41,891,0,3,male,32.0,0,0,370376,7.75,Q,Mrs,0
42,100,0,2,male,34.0,1,0,244367,26.0,S,Mrs,1
43,72,0,3,female,16.0,5,2,CA 2144,46.9,S,Miss,7
