,Unnamed: 0,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamilySize
0,0,343,0,2,1,28.0,0,0,248740,13.0,S,1,0
1,1,76,0,3,1,25.0,0,0,348123,7.65,S,1,0
2,2,641,0,3,1,20.0,0,0,350050,7.8542,S,1,0
3,3,568,0,3,0,29.0,0,4,349909,21.075,S,1,4
4,4,672,0,1,1,31.0,1,0,F.C. 12750,52.0,S,1,1
5,5,105,0,3,1,37.0,2,0,3101276,7.925,S,1,2
6,6,576,0,3,1,19.0,0,0,358585,14.5,S,1,0
7,7,382,1,3,0,1.0,0,2,2653,15.7417,C,0,2
8,8,228,0,3,1,20.5,0,0,A/5 21173,7.25,S,1,0
9,9,433,1,2,0,42.0,1,0,SC/AH 3085,26.0,S,1,1
10,10,135,0,2,1,25.0,0,0,C.A. 29178,13.0,S,1,0
11,11,294,0,3,0,24.0,0,0,349236,8.85,S,0,0
12,12,755,1,2,0,48.0,1,2,220845,65.0,S,1,3
13,13,595,0,2,1,37.0,1,0,SC/AH 29037,26.0,S,1,1
14,14,127,0,3,1,28.0,0,0,370372,7.75,Q,1,0
15,15,434,0,3,1,17.0,0,0,STON/O 2. 3101274,7.125,S,1,0
16,16,378,0,1,1,27.0,0,2,113503,211.5,C,1,2
17,17,533,0,3,1,17.0,1,1,2690,7.2292,C,1,2
18,18,666,0,2,1,32.0,2,0,S.O.C. 14879,73.5,S,1,2
19,19,225,1,1,1,38.0,1,0,19943,90.0,S,1,1
20,20,83,1,3,0,28.0,0,0,330932,7.7875,Q,0,0
21,21,130,0,3,1,45.0,0,0,347061,6.975,S,1,0
22,22,544,1,2,1,32.0,1,0,2908,26.0,S,1,1
23,23,815,0,3,1,30.5,0,0,364499,8.05,S,1,0
24,24,273,1,2,0,41.0,0,1,250644,19.5,S,1,1
25,25,464,0,2,1,48.0,0,0,234360,13.0,S,1,0
26,26,588,1,1,1,60.0,1,1,13567,79.2,C,1,2
27,27,661,1,1,1,50.0,2,0,PC 17611,133.65,S,2,2
28,28,90,0,3,1,24.0,0,0,343275,8.05,S,1,0
